date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:03:00	2936/2936	---M--	200	added ('OK')	text/plain	date:Tue,%2024%20Mar%202020%2011:01:14%20GMT	https://edex.pe/robots.txt		(from )
23:03:00	574266/574266	---MC-	200	added ('OK')	text/html	date:Thu,%2018%20May%202023%2004:02:57%20GMT	https://edex.pe/online-en-vivo/	C:/My%20Web%20Sites/edex/edex.pe/online-en-vivo/index.html	(from )
23:03:02	167592/167592	---M--	200	added ('OK')	text/css	date:Tue,%2011%20Apr%202023%2020:24:33%20GMT	http://edex.pe/wp-content/cache/wpfc-minified/2puz3x37/47mr3.css	C:/My%20Web%20Sites/edex/edex.pe/wp-content/cache/wpfc-minified/2puz3x37/47mr3.css	(from https://edex.pe/online-en-vivo/)
23:03:04	207468/207468	---M--	200	added ('OK')	text/css	date:Tue,%2011%20Apr%202023%2020:24:33%20GMT	http://edex.pe/wp-content/cache/wpfc-minified/2m48h77b/47mr3.css	C:/My%20Web%20Sites/edex/edex.pe/wp-content/cache/wpfc-minified/2m48h77b/47mr3.css	(from https://edex.pe/online-en-vivo/)
23:03:11	1020069/1020069	---M--	200	added ('OK')	text/css	date:Fri,%2005%20May%202023%2000:19:02%20GMT	http://edex.pe/wp-content/cache/wpfc-minified/86989a00/47tsy.css	C:/My%20Web%20Sites/edex/edex.pe/wp-content/cache/wpfc-minified/86989a00/47tsy.css	(from https://edex.pe/online-en-vivo/)
23:03:14	108543/108543	---M-Z	200	added ('OK')	application/x-javascript	date:Thu,%2018%20May%202023%2004:03:10%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/My%20Web%20Sites/edex/connect.facebook.net/en_US/fbevents.js	(from https://edex.pe/online-en-vivo/)
23:03:14	8076/8076	---M--	200	added ('OK')	image/gif	date:Tue,%2008%20Dec%202020%2023:23:08%20GMT	http://edex.pe/wp-content/plugins/ajax-search-for-woocommerce/assets/img/preloader.gif	C:/My%20Web%20Sites/edex/edex.pe/wp-content/plugins/ajax-search-for-woocommerce/assets/img/preloader.gif	(from http://edex.pe/wp-content/cache/wpfc-minified/2m48h77b/47mr3.css)
23:03:16	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2018%20May%202023%2004:03:13%20GMT	http://edex.pe/wp-content/assets/ajax-loader.gif	C:/My%20Web%20Sites/edex/edex.pe/wp-content/assets/ajax-loader.7.delayed	(from http://edex.pe/wp-content/cache/wpfc-minified/86989a00/47tsy.css)
23:03:18	52082/52082	---MC-	200	added ('OK')	text/javascript	date:Mon,%2017%20Apr%202023%2022:36:01%20GMT	https://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/edex/www.google-analytics.com/analytics.js	(from https://edex.pe/online-en-vivo/)
23:03:55	1011127/1011127	---M--	200	added ('OK')	application/javascript	date:Tue,%2011%20Apr%202023%2020:24:33%20GMT	http://edex.pe/wp-content/cache/wpfc-minified/1o8za0s6/47mr3.js	C:/My%20Web%20Sites/edex/edex.pe/wp-content/cache/wpfc-minified/1o8za0s6/47mr3.js	(from https://edex.pe/online-en-vivo/)
